bar,data,marca,barris
Chopperia (1+2),2026-07-18,amstel,4
Chopperia (1+2),2026-07-18,heineken,5
Chopperia (1+2),2026-07-19,amstel,11
Chopperia (1+2),2026-07-19,heineken,11
Chopperia (1+2),2026-07-20,amstel,1
Chopperia (1+2),2026-07-20,heineken,1
Chopperia (1+2),2026-07-21,amstel,6
Chopperia (1+2),2026-07-21,heineken,5
Chopperia (1+2),2026-07-22,amstel,10
Chopperia (1+2),2026-07-22,heineken,10
Chopperia (1+2),2026-07-23,amstel,17
Chopperia (1+2),2026-07-23,heineken,17
Chopperia (1+2),2026-07-24,amstel,16
Chopperia (1+2),2026-07-24,heineken,17
Churrascaria liberdade,2026-07-17,amstel,2
Churrascaria liberdade,2026-07-17,heineken,2
Churrascaria liberdade,2026-07-19,amstel,1
Churrascaria liberdade,2026-07-19,heineken,1
Churrascaria liberdade,2026-07-20,amstel,1
Churrascaria liberdade,2026-07-20,heineken,1
Churrascaria liberdade,2026-07-21,amstel,1
Churrascaria liberdade,2026-07-21,heineken,2
Churrascaria liberdade,2026-07-22,amstel,2
Churrascaria liberdade,2026-07-22,heineken,2
Churrascaria liberdade,2026-07-23,amstel,4
Churrascaria liberdade,2026-07-23,heineken,2
Churrascaria liberdade,2026-07-24,amstel,3
Churrascaria liberdade,2026-07-24,heineken,4
Entrada arquibancada,2026-07-18,amstel,16
Entrada arquibancada,2026-07-18,heineken,16
Entrada arquibancada,2026-07-21,heineken,1
Entrada arquibancada,2026-07-22,amstel,3
Entrada arquibancada,2026-07-22,heineken,2
Entrada arquibancada,2026-07-23,amstel,11
Entrada arquibancada,2026-07-23,heineken,10
Entrada arquibancada,2026-07-24,amstel,4
Entrada arquibancada,2026-07-24,heineken,4
Fundo arquibancada,2026-07-18,amstel,8
Fundo arquibancada,2026-07-18,heineken,8
Fundo arquibancada,2026-07-23,amstel,8
Fundo arquibancada,2026-07-23,heineken,7
Fundo arquibancada,2026-07-24,amstel,2
Fundo arquibancada,2026-07-24,heineken,1
Hippos bar,2026-07-18,heineken,10
Hippos bar,2026-07-23,heineken,6
Hippos bar,2026-07-24,heineken,10
Meio arquibancada,2026-07-18,amstel,8
Meio arquibancada,2026-07-18,heineken,8
Meio arquibancada,2026-07-23,amstel,8
Meio arquibancada,2026-07-23,heineken,8
Meio arquibancada,2026-07-24,amstel,3
Meio arquibancada,2026-07-24,heineken,2
Nova arquibancada,2026-07-18,amstel,8
Nova arquibancada,2026-07-18,heineken,8
Nova arquibancada,2026-07-19,amstel,-3
Nova arquibancada,2026-07-19,heineken,-3
Nova arquibancada,2026-07-22,amstel,2
Nova arquibancada,2026-07-22,heineken,2
Nova arquibancada,2026-07-23,amstel,12
Nova arquibancada,2026-07-23,heineken,10
Nova arquibancada,2026-07-24,amstel,1
Nova arquibancada,2026-07-24,heineken,1
Nucleos,2026-07-18,amstel,16
Nucleos,2026-07-18,heineken,16
Nucleos,2026-07-22,amstel,3
Nucleos,2026-07-22,heineken,1
Nucleos,2026-07-23,amstel,21
Nucleos,2026-07-23,heineken,19
Pista de areia,2026-07-21,amstel,1
Pista de areia,2026-07-21,heineken,1
Vila 3 maior,2026-07-18,amstel,10
Vila 3 maior,2026-07-18,heineken,10
Vila 3 maior,2026-07-22,amstel,3
Vila 3 maior,2026-07-22,heineken,4
Vila 3 maior,2026-07-23,amstel,21
Vila 3 maior,2026-07-23,heineken,19
Vila 3 maior,2026-07-24,amstel,6
Vila 3 maior,2026-07-24,heineken,5
Villa 1 autoatendimento,2026-07-18,amstel,16
Villa 1 autoatendimento,2026-07-18,heineken,16
Villa 1 autoatendimento,2026-07-19,amstel,3
Villa 1 autoatendimento,2026-07-19,heineken,3
Villa 1 autoatendimento,2026-07-21,amstel,4
Villa 1 autoatendimento,2026-07-22,amstel,4
Villa 1 autoatendimento,2026-07-22,heineken,9
Villa 1 autoatendimento,2026-07-23,amstel,28
Villa 1 autoatendimento,2026-07-23,heineken,21
Villa 1 autoatendimento,2026-07-24,amstel,13
Villa 1 autoatendimento,2026-07-24,heineken,11
Villa 2 autoatendimento,2026-07-18,amstel,14
Villa 2 autoatendimento,2026-07-18,heineken,14
Villa 2 autoatendimento,2026-07-19,amstel,5
Villa 2 autoatendimento,2026-07-19,heineken,4
Villa 2 autoatendimento,2026-07-20,amstel,4
Villa 2 autoatendimento,2026-07-20,heineken,4
Villa 2 autoatendimento,2026-07-22,amstel,7
Villa 2 autoatendimento,2026-07-22,heineken,5
Villa 2 autoatendimento,2026-07-23,amstel,20
Villa 2 autoatendimento,2026-07-23,heineken,19
Villa 2 autoatendimento,2026-07-24,amstel,16
Villa 2 autoatendimento,2026-07-24,heineken,16
Villa 2 menor,2026-07-18,amstel,6
Villa 2 menor,2026-07-18,heineken,6
Villa 2 menor,2026-07-21,amstel,2
Villa 2 menor,2026-07-21,heineken,2
Villa 2 menor,2026-07-22,amstel,3
Villa 2 menor,2026-07-22,heineken,1
Villa 2 menor,2026-07-23,amstel,12
Villa 2 menor,2026-07-23,heineken,11
Villa 2 menor,2026-07-24,amstel,2
Villa 2 menor,2026-07-24,heineken,3
Villa 3 menor,2026-07-18,amstel,6
Villa 3 menor,2026-07-18,heineken,6
Villa 3 menor,2026-07-23,amstel,13
Villa 3 menor,2026-07-23,heineken,12
Zel café,2026-07-18,amstel,10
Zel café,2026-07-18,heineken,10
Zel café,2026-07-19,amstel,10
Zel café,2026-07-19,heineken,10
Zel café,2026-07-22,amstel,10
Zel café,2026-07-22,heineken,10
Zel café,2026-07-23,amstel,10
Zel café,2026-07-23,heineken,10
Zel café,2026-07-24,amstel,10
Zel café,2026-07-24,heineken,10
