bar,data,marca,barris
Bar da Pista,2026-07-21,amstel,1
Bar da Pista,2026-07-21,heineken,1
Choperia (1+2),2026-07-19,amstel,6
Choperia (1+2),2026-07-19,heineken,6
Choperia (1+2),2026-07-21,amstel,3
Choperia (1+2),2026-07-21,heineken,3
Choperia (1+2),2026-07-22,amstel,4
Choperia (1+2),2026-07-22,heineken,4
Churrascaria,2026-07-17,amstel,2
Churrascaria,2026-07-17,heineken,2
Churrascaria,2026-07-19,amstel,1
Churrascaria,2026-07-19,heineken,1
Churrascaria,2026-07-20,amstel,1
Churrascaria,2026-07-20,heineken,1
Churrascaria,2026-07-21,amstel,1
Churrascaria,2026-07-21,heineken,2
Churrascaria,2026-07-22,amstel,2
Churrascaria,2026-07-22,heineken,2
Churrascaria,2026-07-23,amstel,2
Churrascaria,2026-07-23,heineken,2
Entrada (arquibancada),2026-07-18,amstel,16
Entrada (arquibancada),2026-07-18,heineken,16
Entrada (arquibancada),2026-07-21,heineken,1
Entrada (arquibancada),2026-07-22,amstel,3
Entrada (arquibancada),2026-07-22,heineken,2
Entrada (arquibancada),2026-07-23,amstel,11
Entrada (arquibancada),2026-07-23,heineken,10
Fundo (arquibancada),2026-07-18,amstel,8
Fundo (arquibancada),2026-07-18,heineken,8
Fundo (arquibancada),2026-07-23,amstel,8
Fundo (arquibancada),2026-07-23,heineken,7
Meio (arquibancada),2026-07-18,amstel,8
Meio (arquibancada),2026-07-18,heineken,8
Meio (arquibancada),2026-07-23,amstel,8
Meio (arquibancada),2026-07-23,heineken,8
Nova (arquibancada),2026-07-18,amstel,8
Nova (arquibancada),2026-07-18,heineken,8
Nova (arquibancada),2026-07-19,amstel,-3
Nova (arquibancada),2026-07-19,heineken,-3
Nova (arquibancada),2026-07-22,amstel,2
Nova (arquibancada),2026-07-22,heineken,2
Nova (arquibancada),2026-07-23,amstel,12
Nova (arquibancada),2026-07-23,heineken,10
Núcleos,2026-07-18,amstel,16
Núcleos,2026-07-18,heineken,16
Núcleos,2026-07-22,amstel,3
Núcleos,2026-07-22,heineken,1
Núcleos,2026-07-23,amstel,21
Núcleos,2026-07-23,heineken,19
Vila 1,2026-07-18,amstel,16
Vila 1,2026-07-18,heineken,16
Vila 1,2026-07-19,amstel,3
Vila 1,2026-07-19,heineken,3
Vila 1,2026-07-21,amstel,4
Vila 1,2026-07-22,amstel,4
Vila 1,2026-07-22,heineken,9
Vila 1,2026-07-23,amstel,28
Vila 1,2026-07-23,heineken,21
Vila 2 maior,2026-07-18,amstel,14
Vila 2 maior,2026-07-18,heineken,14
Vila 2 maior,2026-07-19,amstel,5
Vila 2 maior,2026-07-19,heineken,4
Vila 2 maior,2026-07-20,amstel,4
Vila 2 maior,2026-07-20,heineken,4
Vila 2 maior,2026-07-22,amstel,7
Vila 2 maior,2026-07-22,heineken,5
Vila 2 maior,2026-07-23,amstel,20
Vila 2 maior,2026-07-23,heineken,19
Vila 2 menor,2026-07-18,amstel,6
Vila 2 menor,2026-07-18,heineken,6
Vila 2 menor,2026-07-21,amstel,2
Vila 2 menor,2026-07-21,heineken,2
Vila 2 menor,2026-07-22,amstel,3
Vila 2 menor,2026-07-22,heineken,1
Vila 2 menor,2026-07-23,amstel,12
Vila 2 menor,2026-07-23,heineken,11
Vila 3 maior,2026-07-18,amstel,10
Vila 3 maior,2026-07-18,heineken,10
Vila 3 maior,2026-07-22,amstel,3
Vila 3 maior,2026-07-22,heineken,4
Vila 3 maior,2026-07-23,amstel,21
Vila 3 maior,2026-07-23,heineken,19
Vila 3 menor,2026-07-18,amstel,6
Vila 3 menor,2026-07-18,heineken,6
Vila 3 menor,2026-07-23,amstel,13
Vila 3 menor,2026-07-23,heineken,12
Zel Café,2026-07-18,amstel,10
Zel Café,2026-07-18,heineken,10
Zel Café,2026-07-19,amstel,10
Zel Café,2026-07-19,heineken,10
Zel Café,2026-07-22,amstel,10
Zel Café,2026-07-22,heineken,10
Zel Café,2026-07-23,amstel,10
Zel Café,2026-07-23,heineken,10
