nf,emissao,entrada,tipo,marca,cfop,quantidade,total_nf,chave
001036763,2026-07-14,2026-07-14,vasilhame_vazio,,5908,96,"59.546,88",31260750221019008625550040010367631685399830
001036765,2026-07-14,2026-07-14,vasilhame_vazio,,5908,96,"59.546,88",31260750221019008625550040010367651685446841
001036766,2026-07-14,2026-07-14,vasilhame_vazio,,5908,152,"94.282,56",31260750221019008625550040010367661685431175
001036767,2026-07-14,2026-07-14,chopp_cheio,amstel,5403,48,"50.787,36",31260750221019008625550040010367671685399830
001036767,2026-07-14,2026-07-14,chopp_cheio,heineken,5403,48,"50.787,36",31260750221019008625550040010367671685399830
001036769,2026-07-14,2026-07-14,outro,,5403,200,"42.076,40",31260750221019008625550040010367691685932613
001036769,2026-07-14,2026-07-14,outro,,5403,200,"42.076,40",31260750221019008625550040010367691685932613
001036769,2026-07-14,2026-07-14,outro,,5403,80,"42.076,40",31260750221019008625550040010367691685932613
001036769,2026-07-14,2026-07-14,outro,,5403,40,"42.076,40",31260750221019008625550040010367691685932613
001036769,2026-07-14,2026-07-14,outro,,5403,100,"42.076,40",31260750221019008625550040010367691685932613
001036769,2026-07-14,2026-07-14,outro,,5403,60,"42.076,40",31260750221019008625550040010367691685932613
001040032,2026-07-16,2026-07-16,vasilhame_vazio,,5908,40,"24.811,20",31260750221019008625550040010400321381597146
001042364,2026-07-20,2026-07-20,chopp_cheio,heineken,5403,30,"31.742,09",31260750221019008625550040010423641022952516
001042364,2026-07-20,2026-07-20,chopp_cheio,amstel,5403,30,"31.742,09",31260750221019008625550040010423641022952516
001042368,2026-07-20,2026-07-20,(sem barril),,,,"9.463,72",31260750221019008625550040010423681023109218
001043515,2026-07-21,2026-07-21,vasilhame_vazio,,5908,90,"55.825,20",31260750221019008625550040010435151101672754
001043517,2026-07-21,2026-07-21,vasilhame_vazio,,5908,90,"55.825,20",31260750221019008625550040010435171101688426
001043518,2026-07-21,2026-07-21,chopp_cheio,heineken,5403,30,"41.090,75",31260750221019008625550040010435181101782446
001043518,2026-07-21,2026-07-21,chopp_cheio,amstel,5403,20,"41.090,75",31260750221019008625550040010435181101782446
001043518,2026-07-21,2026-07-21,outro,,5403,75,"41.090,75",31260750221019008625550040010435181101782446
001043518,2026-07-21,2026-07-21,outro,,5403,50,"41.090,75",31260750221019008625550040010435181101782446
001043518,2026-07-21,2026-07-21,outro,,5403,25,"41.090,75",31260750221019008625550040010435181101782446
001044368,2026-07-21,2026-07-21,chopp_cheio,heineken,5403,30,"31.742,09",31260750221019008625550040010443681464207741
001044368,2026-07-21,2026-07-21,chopp_cheio,amstel,5403,30,"31.742,09",31260750221019008625550040010443681464207741
001045254,2026-07-22,2026-07-22,chopp_cheio,heineken,5403,45,"48.057,54",31260750221019008625550040010452541518561541
001045254,2026-07-22,2026-07-22,chopp_cheio,amstel,5910,46,"48.057,54",31260750221019008625550040010452541518561541
001045256,2026-07-22,2026-07-22,chopp_cheio,heineken,5403,25,"36.800,40",31260750221019008625550040010452561518733916
001045256,2026-07-22,2026-07-22,chopp_cheio,amstel,5403,25,"36.800,40",31260750221019008625550040010452561518733916
001045256,2026-07-22,2026-07-22,outro,,5403,30,"36.800,40",31260750221019008625550040010452561518733916
001045256,2026-07-22,2026-07-22,outro,,5403,30,"36.800,40",31260750221019008625550040010452561518733916
001046580,2026-07-23,2026-07-23,vasilhame_vazio,,5908,80,"49.622,40",31260750221019008625550040010465801859405117
001046581,2026-07-23,2026-07-23,chopp_cheio,amstel,5403,20,"43.204,63",31260750221019008625550040010465811859655820
001046581,2026-07-23,2026-07-23,chopp_cheio,heineken,5403,20,"43.204,63",31260750221019008625550040010465811859655820
001046581,2026-07-23,2026-07-23,chopp_cheio,heineken,5910,6,"43.204,63",31260750221019008625550040010465811859655820
001046581,2026-07-23,2026-07-23,outro,,5403,20,"43.204,63",31260750221019008625550040010465811859655820
001046581,2026-07-23,2026-07-23,outro,,5403,45,"43.204,63",31260750221019008625550040010465811859655820
001046581,2026-07-23,2026-07-23,outro,,5403,25,"43.204,63",31260750221019008625550040010465811859655820
001047997,2026-07-24,2026-07-24,vasilhame_vazio,,5908,80,"49.622,40",31260750221019008625550040010479971598624868
