warehouse_code,brand,quantidade,direction,observacoes
dispel,amstel,48,1,NF 001036767 (2026-07-14) CFOP 5403
dispel,heineken,48,1,NF 001036767 (2026-07-14) CFOP 5403
dispel,heineken,30,1,NF 001042364 (2026-07-20) CFOP 5403
dispel,amstel,30,1,NF 001042364 (2026-07-20) CFOP 5403
dispel,heineken,30,1,NF 001043518 (2026-07-21) CFOP 5403
dispel,amstel,20,1,NF 001043518 (2026-07-21) CFOP 5403
dispel,heineken,30,1,NF 001044368 (2026-07-21) CFOP 5403
dispel,amstel,30,1,NF 001044368 (2026-07-21) CFOP 5403
dispel,heineken,45,1,NF 001045254 (2026-07-22) CFOP 5403
dispel,amstel,46,1,NF 001045254 (2026-07-22) CFOP 5910
dispel,heineken,25,1,NF 001045256 (2026-07-22) CFOP 5403
dispel,amstel,25,1,NF 001045256 (2026-07-22) CFOP 5403
dispel,amstel,20,1,NF 001046581 (2026-07-23) CFOP 5403
dispel,heineken,20,1,NF 001046581 (2026-07-23) CFOP 5403
dispel,heineken,6,1,NF 001046581 (2026-07-23) CFOP 5910
